Time	LAT	LON	Depth	Mag
2009/02/16 06:05:55.2000	54.745	161.697	58	4.8
2009/02/16 06:50:57.3000	-1.343	127.722	35	4.7
2009/02/16 08:24:22.3000	-3.931	34.866	10	4.9
2009/02/16 14:13:55.5000	3.51	126.933	35	4.9
2009/02/16 15:02:44.6000	-8.554	157.666	35	4.9
2009/02/16 23:13:55.6000	38.852	75.574	49	4.8
2009/02/17 05:28:19.0000	39.107	29.039	7	5
2009/02/17 06:16:35.8000	-7.621	127.721	153	4.8
2009/02/17 07:01:52.8000	2.327	128.302	94	5.1
2009/02/17 08:23:50.4000	3.677	126.868	35	4.8
2009/02/17 14:49:35.3000	-30.362	-65.234	180	4.8
2009/02/17 15:16:59.4000	3.896	126.537	35	4.7
2009/02/17 19:21:30.2000	-18.835	168.864	98	4.9
2009/02/17 21:47:07.9000	35.591	136.12	10	4.8
2009/02/17 21:50:38.8000	18.17	144.981	145	4.6
2009/02/18 00:09:18.8000	-52.984	20.967	10	5.1
2009/02/18 02:50:37.9000	3.775	126.971	35	4.8
2009/02/18 03:07:50.3000	-52.933	20.952	10	5.6
2009/02/18 03:30:34.9000	-61.711	154.889	10	5.2
2009/02/18 05:41:35.1000	16.92	-94.263	109	4.7
2009/02/18 06:57:45.7000	56.07	-162.529	166	4.9
2009/02/18 10:11:43.8000	30.694	83.842	35	4.6
2009/02/18 10:19:22.8000	-27.512	-178.995	367	4.7
2009/02/18 10:26:04.9000	3.654	126.533	35	5.2
2009/02/18 11:44:13.9000	3.846	126.656	35	5.2
2009/02/19 00:28:50.8000	-14.254	66.185	10	4.8
2009/02/19 04:27:44.6000	-2.346	-77.079	18	4.7
2009/02/19 09:03:21.4000	-7.401	120.653	584	4.9
2009/02/20 01:46:18.1000	-18.321	-178.765	515	5.1
2009/02/20 03:48:48.6000	34.217	73.848	10	5.4
2009/02/20 07:44:49.3000	-21.472	-66.6	203	4.5
2009/02/20 10:02:32.2000	40.751	78.662	35	5.3
2009/02/20 13:47:17.1000	-3.846	149.711	79	4.6
2009/02/20 15:42:41.2000	40.776	78.899	35	4.8
2009/02/21 02:33:17.6000	11.258	-86.656	82	4.5
2009/02/21 10:33:36.7000	13.539	-88.321	203	4.9
2009/02/21 10:50:29.1000	5.824	126.866	115	4.7
2009/02/21 12:43:37.5000	31.541	137.899	393	4.4
2009/02/21 15:40:36.9000	55.256	-37.029	10	5
2009/02/21 15:46:14.3000	55.588	-35.13	10	4.7
2009/02/21 16:53:35.9000	55.603	-34.949	10	4.5
2009/02/21 16:53:54.4000	55.472	-35.037	10	5.1
2009/02/21 20:17:05.9000	13.884	-92.755	28	4.5
2009/02/22 01:08:59.2000	54.591	162.06	42	4.9
2009/02/22 03:52:46.5000	3.873	126.786	35	5.2
2009/02/22 06:01:48.2000	44.287	-129.51	10	4.3
2009/02/22 09:00:50.0000	-15.718	-178.388	439	4.6
2009/02/22 09:49:11.2000	3.802	127.026	35	4.9
2009/02/22 10:33:45.7000	48.912	158.052	10	5.3
2009/02/22 10:42:40.8000	5.749	124.991	78	4.6
2009/02/22 12:15:49.8000	-0.539	133.112	35	5
2009/02/22 13:50:13.4000	24.338	127.098	13	5
2009/02/22 14:24:12.3000	41.753	143.971	40	5.2
2009/02/22 16:16:30.0000	3.799	127.097	24	4.6
2009/02/22 17:45:22.5000	3.681	126.564	32	5.9
2009/02/22 20:49:47.7000	52.744	-178.791	245	4.5
2009/02/22 21:27:45.5000	3.7	126.763	54	4.8
2009/02/23 00:04:27.4000	59.205	-153.941	98	4.9
2009/02/23 00:19:49.5000	-36.715	-95.523	10	4.8
2009/02/23 03:01:44.7000	7.065	-104.3	10	4.6
2009/02/23 04:06:11.3000	4.005	126.802	35	4.9
2009/02/23 11:10:57.6000	27.724	55.371	10	4.8
2009/02/23 12:17:54.4000	-0.716	133.201	35	5.1
2009/02/23 17:34:00.8000	3.675	126.613	35	5.3
2009/02/23 19:49:22.8000	-18.755	-174.803	203	4.8
2009/02/24 00:46:40.3000	-0.192	-18.49	10	4.9
2009/02/24 01:26:16.8000	-27.13	75.112	10	5.1
2009/02/24 05:57:59.8000	13.8	146.311	5	5.7
2009/02/24 06:46:09.0000	8.189	-103.84	10	4.4
2009/02/24 07:05:36.1000	8.128	-103.801	10	4.8
2009/02/24 07:10:32.2000	29.773	-114.459	10	4.6
2009/02/24 08:29:43.7000	3.783	126.716	77	4.8
2009/02/24 08:40:20.1000	-31.008	-177.204	35	4.8
2009/02/24 08:40:39.9000	3.721	126.774	69	4.7
2009/02/24 10:35:40.5000	-1.775	120.508	35	5
2009/02/24 17:46:15.7000	25.849	94.642	32	4.6
2009/02/24 18:30:15.4000	-13.158	167.233	221	5.1
2009/02/25 07:51:45.3000	9.093	126.212	81	4.8
2009/02/25 09:19:48.4000	-23.113	170.607	35	5.1
2009/02/25 10:22:25.6000	53.943	159.14	132	4.7
2009/02/26 07:50:50.2000	38.372	74.086	141	4.8
2009/02/26 09:52:47.0000	42.544	-123.892	38	4.1
2009/02/26 12:32:52.8000	19.058	121.185	35	4.9
2009/02/26 16:15:55.6000	3.697	126.758	81	5
2009/02/27 00:11:43.8000	52.465	-172.61	26	4.7
2009/02/27 00:17:42.8000	52.227	-172.608	10	4.1
2009/02/27 02:21:17.5000	18.22	120.611	36	4.5
2009/02/27 02:29:24.9000	-22.354	-175.443	35	4.9
2009/02/27 02:57:43.2000	-11.845	166.275	76	4.9
2009/02/27 05:25:48.8000	1.57	97.104	35	5
2009/02/27 10:42:38.5000	20.45	89.111	10	4.6
2009/02/27 12:48:06.6000	-5.752	131.152	96	4.8
2009/02/27 15:53:35.6000	3.688	126.947	88	4.8
2009/02/27 20:52:46.6000	34.337	25.224	18	4.7
2009/02/28 00:35:56.2000	42.636	142.064	99	5.5
2009/02/28 01:43:31.9000	3.693	126.692	35	5.2
2009/02/28 02:46:56.4000	3.836	126.675	35	5
2009/02/28 07:17:59.0000	-20.158	-173.133	35	4.6
2009/02/28 08:52:06.7000	18.199	-101.819	5	4
2009/02/28 10:50:22.1000	3.846	126.485	35	5.3
2009/02/28 12:17:36.6000	43.228	-126.766	10	4.2
2009/02/28 12:24:12.8000	3.922	126.553	48	4.9
2009/02/28 20:00:22.5000	13.795	144.575	151	4.4
2009/02/28 20:35:16.3000	-0.544	132.899	91	4.6
2009/03/01 00:41:12.6000	64.453	-17.491	10	4.6
2009/03/01 01:25:10.1000	23.383	125.599	8	4.4
2009/03/01 04:33:16.2000	-20.606	-176.817	276	4.3
2009/03/01 05:19:57.9000	51.435	178.166	73	4.4
2009/03/01 05:33:00.5000	39.706	74.377	55	4.3
2009/03/01 08:17:39.7000	-27.289	-176.394	68	5.3
2009/03/01 12:14:44.2000	21.798	-108.486	10	4.6
